Word,Australia and New Zealand,Central Asia,Eastern Asia,Eastern Europe,Latin America and the Caribbean,Melanesia,Micronesia,Northern Africa,Northern America,Northern Europe,Polynesia,South-eastern Asia,Southern Asia,Southern Europe,Sub-Saharan Africa,Western Asia,Western Europe,global_freq
aback,5.0,10.0,11.0,27.0,90.0,6.0,7.0,18.0,10.0,24.0,10.0,20.0,24.0,20.0,136.0,40.0,15.0,473.0
abandon,13.0,21.0,44.0,52.0,233.0,15.0,20.0,45.0,34.0,34.0,25.0,21.0,50.0,55.0,216.0,91.0,31.0,1000.0
ability,23.0,28.0,35.0,38.0,110.0,23.0,28.0,30.0,11.0,51.0,43.0,42.0,39.0,40.0,238.0,66.0,23.0,868.0
abroad,6.0,0.0,28.0,21.0,127.0,2.0,6.0,14.0,0.0,2.0,14.0,12.0,16.0,18.0,90.0,44.0,9.0,409.0
absence,11.0,18.0,18.0,19.0,82.0,10.0,6.0,13.0,6.0,19.0,10.0,15.0,29.0,38.0,72.0,37.0,14.0,417.0
absorb,16.0,34.0,27.0,38.0,187.0,21.0,25.0,37.0,16.0,42.0,30.0,52.0,34.0,41.0,267.0,69.0,43.0,979.0
abuela,7.0,0.0,0.0,0.0,2405.0,0.0,71.0,0.0,0.0,0.0,0.0,35.0,0.0,62.0,60.0,0.0,0.0,2640.0
abundance,9.0,9.0,6.0,10.0,53.0,18.0,24.0,7.0,4.0,14.0,32.0,18.0,13.0,32.0,95.0,24.0,1.0,369.0
accept,33.0,23.0,38.0,50.0,179.0,15.0,21.0,25.0,18.0,71.0,33.0,34.0,41.0,61.0,212.0,59.0,35.0,948.0
accompany,11.0,29.0,21.0,35.0,184.0,29.0,21.0,29.0,13.0,43.0,24.0,31.0,45.0,45.0,183.0,56.0,27.0,826.0
accomplishment,8.0,8.0,7.0,15.0,72.0,9.0,10.0,6.0,8.0,15.0,18.0,23.0,13.0,11.0,74.0,19.0,7.0,323.0
accord,11.0,15.0,4.0,22.0,109.0,11.0,18.0,8.0,18.0,51.0,25.0,25.0,25.0,59.0,68.0,34.0,30.0,533.0
ache,34.0,22.0,67.0,75.0,314.0,26.0,31.0,56.0,36.0,65.0,57.0,37.0,72.0,95.0,242.0,154.0,45.0,1428.0
acknowledge,11.0,9.0,10.0,20.0,90.0,13.0,19.0,17.0,9.0,31.0,23.0,12.0,12.0,29.0,121.0,25.0,8.0,459.0
act,26.0,17.0,50.0,50.0,249.0,38.0,67.0,41.0,30.0,65.0,47.0,64.0,67.0,57.0,291.0,67.0,19.0,1245.0
action,43.0,19.0,75.0,49.0,444.0,64.0,137.0,71.0,51.0,54.0,100.0,92.0,49.0,56.0,463.0,90.0,13.0,1870.0
activist,6.0,2.0,59.0,11.0,241.0,9.0,11.0,61.0,18.0,1.0,13.0,33.0,30.0,6.0,166.0,66.0,1.0,734.0
activity,30.0,5.0,14.0,17.0,208.0,12.0,23.0,24.0,34.0,9.0,21.0,44.0,21.0,21.0,170.0,67.0,13.0,733.0
adapt,8.0,7.0,12.0,10.0,92.0,11.0,59.0,10.0,40.0,6.0,61.0,25.0,24.0,2.0,191.0,44.0,5.0,607.0
add,14.0,24.0,25.0,20.0,187.0,12.0,18.0,27.0,17.0,26.0,18.0,46.0,36.0,43.0,182.0,75.0,21.0,791.0
address,14.0,3.0,7.0,23.0,130.0,6.0,20.0,23.0,15.0,36.0,18.0,17.0,32.0,27.0,184.0,46.0,26.0,627.0
adjust,11.0,4.0,13.0,9.0,65.0,8.0,8.0,15.0,17.0,12.0,28.0,4.0,8.0,22.0,52.0,32.0,17.0,325.0
admiration,16.0,35.0,29.0,41.0,217.0,15.0,24.0,43.0,13.0,28.0,31.0,35.0,69.0,64.0,235.0,104.0,54.0,1053.0
admire,28.0,24.0,53.0,61.0,322.0,12.0,12.0,36.0,29.0,20.0,42.0,72.0,80.0,69.0,231.0,112.0,77.0,1280.0
admit,36.0,11.0,40.0,38.0,207.0,3.0,16.0,26.0,39.0,34.0,18.0,29.0,25.0,37.0,91.0,38.0,37.0,725.0
adorn,142.0,202.0,232.0,288.0,1794.0,177.0,205.0,305.0,131.0,292.0,344.0,294.0,303.0,453.0,1619.0,586.0,243.0,7610.0
adrenaline,16.0,4.0,45.0,6.0,129.0,6.0,14.0,21.0,30.0,15.0,14.0,4.0,11.0,19.0,64.0,28.0,34.0,460.0
adult,7.0,8.0,12.0,14.0,111.0,8.0,13.0,3.0,14.0,19.0,18.0,21.0,19.0,21.0,99.0,64.0,3.0,454.0
adventure,365.0,658.0,269.0,634.0,3296.0,264.0,387.0,476.0,439.0,856.0,1045.0,636.0,585.0,1042.0,3339.0,912.0,368.0,15571.0
adventurous,39.0,60.0,50.0,132.0,365.0,79.0,85.0,41.0,22.0,133.0,177.0,112.0,54.0,123.0,400.0,120.0,23.0,2015.0
adversity,11.0,18.0,32.0,53.0,189.0,20.0,36.0,39.0,17.0,16.0,26.0,38.0,57.0,39.0,240.0,157.0,8.0,996.0
advocate,38.0,5.0,29.0,17.0,413.0,22.0,57.0,51.0,35.0,18.0,37.0,39.0,63.0,19.0,319.0,88.0,21.0,1271.0
affect,11.0,0.0,8.0,10.0,79.0,4.0,11.0,10.0,8.0,6.0,10.0,8.0,20.0,4.0,76.0,24.0,6.0,295.0
afraid,9.0,19.0,48.0,70.0,162.0,19.0,21.0,24.0,12.0,78.0,36.0,51.0,37.0,47.0,199.0,43.0,16.0,891.0
aftermath,16.0,5.0,20.0,11.0,187.0,21.0,28.0,35.0,13.0,14.0,31.0,13.0,49.0,25.0,114.0,56.0,18.0,656.0
afternoon,130.0,72.0,147.0,241.0,1393.0,76.0,148.0,124.0,125.0,214.0,154.0,263.0,189.0,255.0,1136.0,431.0,176.0,5274.0
age,58.0,90.0,104.0,151.0,505.0,54.0,71.0,115.0,61.0,223.0,102.0,111.0,141.0,217.0,655.0,265.0,101.0,3024.0
aged,3.0,3.0,12.0,22.0,54.0,2.0,3.0,7.0,21.0,28.0,1.0,8.0,10.0,28.0,24.0,25.0,30.0,281.0
ago,39.0,43.0,72.0,94.0,405.0,39.0,64.0,50.0,72.0,126.0,95.0,95.0,84.0,138.0,401.0,161.0,70.0,2048.0
agree,34.0,29.0,40.0,49.0,317.0,33.0,43.0,48.0,30.0,55.0,56.0,78.0,65.0,63.0,423.0,97.0,48.0,1508.0
agreement,13.0,11.0,16.0,12.0,168.0,26.0,20.0,27.0,26.0,40.0,38.0,29.0,29.0,25.0,268.0,56.0,12.0,816.0
ah,32.0,43.0,112.0,88.0,422.0,25.0,61.0,50.0,63.0,112.0,58.0,270.0,68.0,167.0,407.0,156.0,112.0,2246.0
ahead,66.0,60.0,124.0,126.0,549.0,70.0,99.0,120.0,67.0,123.0,111.0,100.0,118.0,158.0,687.0,177.0,68.0,2823.0
air,650.0,561.0,946.0,1403.0,6111.0,615.0,603.0,864.0,685.0,2042.0,942.0,1177.0,990.0,1815.0,5973.0,2004.0,825.0,28206.0
al,0.0,0.0,0.0,27.0,10.0,0.0,0.0,231.0,0.0,5.0,0.0,0.0,2.0,491.0,209.0,2326.0,580.0,3881.0
alex,22.0,0.0,117.0,66.0,144.0,0.0,0.0,0.0,51.0,0.0,0.0,32.0,15.0,60.0,13.0,8.0,73.0,601.0
alight,7.0,11.0,12.0,20.0,69.0,9.0,7.0,20.0,5.0,25.0,11.0,16.0,18.0,29.0,88.0,25.0,11.0,383.0
alike,37.0,20.0,26.0,23.0,309.0,10.0,12.0,19.0,18.0,22.0,19.0,38.0,34.0,66.0,162.0,81.0,53.0,949.0
alive,217.0,209.0,299.0,512.0,2567.0,227.0,312.0,242.0,179.0,666.0,404.0,383.0,324.0,519.0,2039.0,655.0,248.0,10002.0
alley,0.0,5.0,85.0,30.0,45.0,0.0,0.0,41.0,1.0,5.0,0.0,11.0,31.0,33.0,43.0,75.0,28.0,433.0
allow,58.0,47.0,94.0,128.0,576.0,74.0,83.0,77.0,59.0,172.0,124.0,111.0,109.0,180.0,591.0,165.0,79.0,2727.0
allure,20.0,16.0,24.0,45.0,196.0,18.0,14.0,32.0,18.0,57.0,46.0,27.0,27.0,58.0,154.0,74.0,62.0,888.0
ally,9.0,4.0,17.0,13.0,102.0,6.0,12.0,44.0,12.0,16.0,18.0,12.0,19.0,21.0,103.0,26.0,11.0,445.0
alongside,32.0,25.0,36.0,41.0,363.0,40.0,44.0,49.0,32.0,50.0,90.0,59.0,72.0,48.0,340.0,88.0,40.0,1449.0
aloud,13.0,9.0,10.0,35.0,51.0,8.0,8.0,18.0,16.0,25.0,14.0,17.0,19.0,55.0,68.0,31.0,19.0,416.0
alps,24.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,110.0,0.0,0.0,235.0,376.0
alright,8.0,2.0,4.0,8.0,87.0,1.0,8.0,9.0,9.0,6.0,15.0,13.0,7.0,21.0,65.0,19.0,12.0,294.0
altar,25.0,34.0,62.0,60.0,511.0,44.0,48.0,43.0,16.0,134.0,54.0,24.0,25.0,191.0,204.0,59.0,30.0,1564.0
amazing,19.0,2.0,22.0,3.0,144.0,6.0,14.0,2.0,19.0,4.0,10.0,16.0,8.0,12.0,58.0,17.0,7.0,363.0
amazon,0.0,0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,553.0
ambition,11.0,14.0,34.0,33.0,154.0,4.0,9.0,46.0,36.0,14.0,20.0,30.0,56.0,42.0,257.0,66.0,59.0,885.0
amid,9.0,14.0,22.0,25.0,162.0,11.0,19.0,33.0,19.0,21.0,16.0,23.0,31.0,19.0,110.0,99.0,15.0,648.0
amidst,53.0,60.0,133.0,135.0,658.0,59.0,60.0,175.0,70.0,122.0,106.0,123.0,204.0,173.0,679.0,473.0,123.0,3406.0
amplify,9.0,2.0,13.0,5.0,100.0,7.0,10.0,24.0,3.0,5.0,7.0,11.0,14.0,7.0,80.0,21.0,3.0,321.0
amulet,4.0,39.0,28.0,60.0,197.0,4.0,1.0,163.0,9.0,28.0,0.0,57.0,8.0,127.0,358.0,143.0,19.0,1245.0
amélie,0.0,0.0,0.0,0.0,1348.0,48.0,0.0,0.0,92.0,0.0,29.0,0.0,0.0,7.0,40.0,0.0,160.0,1724.0
ancestor,431.0,613.0,374.0,483.0,4743.0,1466.0,1662.0,654.0,200.0,786.0,2359.0,906.0,443.0,887.0,7468.0,1519.0,164.0,25158.0
ancestors,5.0,4.0,10.0,6.0,119.0,79.0,42.0,11.0,2.0,11.0,78.0,24.0,5.0,10.0,364.0,13.0,1.0,784.0
ancestral,12.0,1.0,6.0,7.0,106.0,32.0,20.0,6.0,10.0,13.0,30.0,15.0,15.0,14.0,158.0,26.0,3.0,474.0
ancestry,15.0,1.0,7.0,4.0,62.0,7.0,9.0,3.0,0.0,15.0,28.0,9.0,5.0,13.0,72.0,21.0,10.0,281.0
anchor,18.0,4.0,11.0,17.0,267.0,17.0,49.0,11.0,40.0,49.0,111.0,17.0,26.0,43.0,165.0,56.0,19.0,920.0
ancient,245.0,637.0,345.0,965.0,2389.0,324.0,476.0,960.0,271.0,1661.0,618.0,605.0,556.0,1607.0,3179.0,1900.0,364.0,17102.0
andes,1.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0
anew,5.0,3.0,19.0,19.0,55.0,1.0,12.0,7.0,4.0,24.0,7.0,11.0,24.0,19.0,48.0,43.0,12.0,313.0
anger,12.0,4.0,27.0,21.0,138.0,23.0,19.0,34.0,6.0,45.0,30.0,21.0,33.0,28.0,169.0,93.0,15.0,718.0
angry,1.0,4.0,4.0,4.0,50.0,20.0,33.0,7.0,1.0,15.0,33.0,21.0,13.0,8.0,72.0,9.0,1.0,296.0
animal,18.0,39.0,51.0,66.0,254.0,10.0,8.0,21.0,31.0,101.0,13.0,61.0,38.0,44.0,529.0,32.0,8.0,1324.0
announce,26.0,10.0,27.0,23.0,249.0,25.0,22.0,19.0,17.0,27.0,28.0,50.0,39.0,38.0,250.0,41.0,21.0,912.0
annual,72.0,31.0,44.0,57.0,467.0,46.0,74.0,33.0,63.0,53.0,94.0,76.0,66.0,86.0,420.0,139.0,47.0,1868.0
answer,50.0,48.0,69.0,88.0,303.0,51.0,79.0,61.0,45.0,172.0,98.0,88.0,46.0,125.0,476.0,108.0,48.0,1955.0
anticipate,14.0,4.0,12.0,11.0,76.0,7.0,6.0,12.0,21.0,17.0,7.0,9.0,19.0,17.0,47.0,24.0,25.0,328.0
anticipation,114.0,95.0,159.0,207.0,1130.0,126.0,157.0,173.0,155.0,313.0,218.0,203.0,201.0,308.0,1323.0,358.0,192.0,5432.0
antigua,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,289.0
anxiety,33.0,14.0,51.0,28.0,236.0,13.0,36.0,17.0,25.0,15.0,33.0,45.0,48.0,28.0,201.0,75.0,39.0,937.0
apart,23.0,13.0,47.0,49.0,128.0,10.0,14.0,42.0,27.0,30.0,21.0,27.0,37.0,70.0,174.0,124.0,32.0,868.0
apartment,8.0,4.0,97.0,35.0,176.0,1.0,0.0,11.0,26.0,13.0,2.0,19.0,13.0,30.0,64.0,57.0,62.0,618.0
appear,39.0,62.0,95.0,143.0,438.0,90.0,111.0,65.0,49.0,240.0,138.0,137.0,81.0,171.0,515.0,153.0,81.0,2608.0
applause,29.0,28.0,41.0,41.0,451.0,17.0,39.0,40.0,41.0,33.0,58.0,67.0,63.0,56.0,489.0,123.0,63.0,1679.0
appreciate,21.0,14.0,23.0,28.0,164.0,10.0,13.0,16.0,19.0,18.0,17.0,42.0,46.0,29.0,88.0,56.0,22.0,626.0
appreciation,15.0,17.0,20.0,19.0,115.0,10.0,16.0,12.0,13.0,20.0,14.0,28.0,27.0,32.0,88.0,52.0,27.0,525.0
apprehension,10.0,7.0,18.0,25.0,144.0,14.0,14.0,12.0,25.0,38.0,30.0,22.0,26.0,31.0,122.0,65.0,39.0,642.0
approach,349.0,350.0,500.0,743.0,2920.0,325.0,454.0,474.0,359.0,953.0,673.0,658.0,583.0,915.0,3431.0,1081.0,442.0,15210.0
approval,17.0,13.0,20.0,31.0,94.0,18.0,15.0,18.0,7.0,52.0,25.0,40.0,19.0,42.0,195.0,46.0,8.0,660.0
archipelago,4.0,0.0,1.0,0.0,30.0,39.0,64.0,0.0,31.0,93.0,60.0,3.0,11.0,7.0,114.0,3.0,0.0,460.0
architecture,1.0,20.0,36.0,44.0,117.0,1.0,0.0,24.0,6.0,12.0,0.0,16.0,21.0,42.0,76.0,81.0,92.0,589.0
archive,21.0,0.0,17.0,37.0,64.0,2.0,4.0,6.0,16.0,35.0,7.0,6.0,3.0,47.0,38.0,27.0,92.0,422.0
arduous,5.0,14.0,6.0,10.0,57.0,10.0,5.0,21.0,3.0,19.0,12.0,6.0,15.0,12.0,80.0,31.0,3.0,309.0
area,55.0,13.0,25.0,29.0,312.0,21.0,28.0,27.0,67.0,49.0,28.0,65.0,49.0,45.0,225.0,89.0,72.0,1199.0
argue,2.0,3.0,6.0,8.0,73.0,8.0,9.0,10.0,12.0,6.0,14.0,13.0,13.0,5.0,64.0,24.0,8.0,278.0
arm,135.0,110.0,117.0,243.0,1122.0,96.0,115.0,146.0,127.0,292.0,201.0,173.0,172.0,291.0,1155.0,333.0,138.0,4966.0
aroma,54.0,65.0,82.0,101.0,783.0,40.0,67.0,82.0,60.0,61.0,69.0,159.0,139.0,146.0,710.0,293.0,79.0,2990.0
arrange,8.0,7.0,13.0,11.0,84.0,3.0,4.0,9.0,8.0,23.0,12.0,29.0,18.0,19.0,75.0,37.0,19.0,379.0
arrival,121.0,38.0,77.0,86.0,512.0,22.0,36.0,40.0,97.0,128.0,86.0,62.0,103.0,93.0,398.0,84.0,122.0,2105.0
arrive,164.0,125.0,239.0,251.0,1619.0,112.0,151.0,192.0,162.0,291.0,235.0,263.0,284.0,334.0,1558.0,504.0,251.0,6735.0
art,139.0,149.0,510.0,356.0,2743.0,30.0,89.0,315.0,210.0,159.0,188.0,294.0,599.0,429.0,1696.0,984.0,803.0,9693.0
article,14.0,2.0,27.0,11.0,97.0,3.0,3.0,13.0,24.0,17.0,5.0,19.0,12.0,17.0,96.0,34.0,30.0,424.0
artifact,44.0,54.0,53.0,87.0,522.0,21.0,33.0,223.0,103.0,157.0,49.0,29.0,52.0,217.0,322.0,289.0,214.0,2469.0
artisan,10.0,41.0,19.0,28.0,345.0,8.0,16.0,68.0,17.0,4.0,27.0,44.0,99.0,38.0,305.0,145.0,36.0,1250.0
artist,68.0,50.0,235.0,193.0,1362.0,6.0,17.0,120.0,127.0,99.0,55.0,165.0,200.0,230.0,717.0,439.0,370.0,4453.0
artistic,12.0,4.0,23.0,23.0,139.0,0.0,1.0,11.0,13.0,11.0,7.0,15.0,20.0,26.0,53.0,46.0,62.0,466.0
artistry,1.0,24.0,7.0,5.0,90.0,5.0,3.0,14.0,2.0,6.0,5.0,9.0,32.0,25.0,50.0,46.0,15.0,339.0
artwork,22.0,5.0,40.0,15.0,188.0,3.0,4.0,6.0,19.0,13.0,16.0,29.0,23.0,29.0,99.0,64.0,57.0,632.0
ascend,5.0,23.0,14.0,11.0,84.0,9.0,8.0,7.0,5.0,23.0,8.0,7.0,23.0,45.0,60.0,11.0,19.0,362.0
ascent,6.0,35.0,7.0,12.0,75.0,10.0,1.0,12.0,3.0,21.0,6.0,7.0,25.0,50.0,93.0,29.0,8.0,400.0
aside,13.0,12.0,17.0,18.0,95.0,9.0,11.0,27.0,8.0,37.0,15.0,31.0,19.0,52.0,104.0,40.0,17.0,525.0
ask,210.0,236.0,448.0,556.0,2438.0,233.0,359.0,332.0,294.0,723.0,465.0,617.0,498.0,687.0,2504.0,848.0,383.0,11831.0
aspiration,16.0,36.0,57.0,40.0,225.0,4.0,13.0,70.0,24.0,21.0,24.0,43.0,114.0,45.0,385.0,123.0,44.0,1284.0
aspire,6.0,3.0,6.0,9.0,84.0,2.0,2.0,10.0,8.0,8.0,1.0,21.0,20.0,19.0,87.0,27.0,17.0,330.0
astonishment,11.0,17.0,18.0,48.0,82.0,15.0,27.0,11.0,7.0,54.0,27.0,48.0,26.0,49.0,145.0,46.0,15.0,646.0
atlantic,0.0,0.0,0.0,0.0,91.0,0.0,0.0,7.0,62.0,61.0,0.0,0.0,0.0,13.0,252.0,0.0,0.0,486.0
atmosphere,55.0,25.0,137.0,94.0,486.0,29.0,37.0,70.0,69.0,97.0,55.0,102.0,94.0,123.0,443.0,188.0,92.0,2196.0
atop,17.0,43.0,19.0,23.0,102.0,12.0,12.0,55.0,14.0,28.0,20.0,21.0,40.0,103.0,145.0,91.0,29.0,774.0
attempt,9.0,3.0,8.0,10.0,74.0,3.0,7.0,6.0,10.0,11.0,6.0,12.0,12.0,21.0,63.0,25.0,10.0,290.0
attend,33.0,6.0,34.0,14.0,162.0,4.0,12.0,25.0,29.0,10.0,11.0,16.0,35.0,23.0,149.0,53.0,55.0,671.0
attention,55.0,33.0,61.0,87.0,659.0,44.0,50.0,101.0,61.0,93.0,72.0,122.0,98.0,130.0,593.0,219.0,126.0,2604.0
attic,8.0,1.0,6.0,38.0,71.0,0.0,1.0,5.0,12.0,32.0,1.0,4.0,13.0,22.0,14.0,22.0,33.0,283.0
attire,4.0,22.0,9.0,13.0,67.0,28.0,33.0,15.0,2.0,14.0,32.0,20.0,19.0,13.0,248.0,51.0,12.0,602.0
attract,15.0,12.0,23.0,26.0,199.0,11.0,19.0,38.0,8.0,10.0,16.0,45.0,44.0,28.0,202.0,99.0,32.0,827.0
au,0.0,0.0,0.0,105.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,312.0,474.0
audible,5.0,6.0,16.0,21.0,72.0,11.0,17.0,14.0,14.0,26.0,21.0,10.0,22.0,28.0,59.0,26.0,10.0,378.0
audience,25.0,28.0,55.0,48.0,475.0,13.0,30.0,46.0,35.0,28.0,45.0,68.0,93.0,52.0,426.0,131.0,104.0,1702.0
aunt,1.0,0.0,5.0,8.0,84.0,1.0,3.0,1.0,8.0,7.0,2.0,13.0,7.0,11.0,113.0,12.0,2.0,278.0
aunty,78.0,0.0,7.0,0.0,16.0,40.0,181.0,0.0,0.0,0.0,175.0,16.0,4.0,0.0,129.0,0.0,0.0,646.0
aura,5.0,5.0,16.0,9.0,47.0,2.0,6.0,9.0,8.0,33.0,10.0,17.0,16.0,33.0,46.0,16.0,25.0,303.0
authority,9.0,7.0,40.0,12.0,111.0,6.0,6.0,59.0,4.0,9.0,9.0,20.0,18.0,20.0,132.0,41.0,31.0,534.0
autumn,37.0,66.0,81.0,376.0,95.0,1.0,3.0,14.0,131.0,403.0,4.0,5.0,76.0,245.0,16.0,113.0,186.0,1852.0
await,52.0,69.0,68.0,113.0,383.0,50.0,87.0,70.0,48.0,158.0,128.0,70.0,62.0,170.0,472.0,110.0,62.0,2172.0
awake,18.0,44.0,38.0,42.0,270.0,57.0,79.0,54.0,29.0,80.0,95.0,47.0,54.0,54.0,369.0,107.0,19.0,1456.0
awaken,43.0,45.0,93.0,99.0,489.0,57.0,76.0,84.0,75.0,240.0,109.0,86.0,61.0,224.0,481.0,130.0,45.0,2437.0
awakening,30.0,12.0,40.0,43.0,306.0,45.0,61.0,49.0,53.0,81.0,64.0,46.0,36.0,68.0,259.0,84.0,20.0,1297.0
aware,5.0,2.0,18.0,15.0,61.0,8.0,14.0,13.0,8.0,18.0,11.0,7.0,9.0,15.0,64.0,21.0,16.0,305.0
awareness,35.0,3.0,24.0,10.0,396.0,19.0,55.0,21.0,28.0,29.0,36.0,51.0,41.0,22.0,204.0,56.0,5.0,1035.0
